Run,Algorithm,Frames,PageRange,HotPages,RefLength,HotRatio,PageFaults,PageHits,HitRatio
33,CLOCK-Pro,4,20,4,30,80%,19,11,36.7%
33,ARC,4,20,4,30,80%,14,16,53.3%
34,LIRS,4,20,4,30,80%,15,15,50.0%
34,CLOCK-Pro,4,20,4,30,80%,16,14,46.7%
34,ARC,4,20,4,30,80%,17,13,43.3%
35,LIRS,4,20,4,30,80%,13,17,56.7%
35,CLOCK-Pro,4,20,4,30,80%,16,14,46.7%
35,ARC,4,20,4,30,80%,13,17,56.7%
36,LIRS,4,20,4,30,80%,9,21,70.0%
36,CLOCK-Pro,4,20,4,30,80%,12,18,60.0%
36,ARC,4,20,4,30,80%,9,21,70.0%
37,LIRS,4,20,4,30,80%,14,16,53.3%
37,CLOCK-Pro,4,20,4,30,80%,18,12,40.0%
37,ARC,4,20,4,30,80%,15,15,50.0%
38,LIRS,4,20,4,30,80%,9,21,70.0%
38,CLOCK-Pro,4,20,4,30,80%,12,18,60.0%
38,ARC,4,20,4,30,80%,9,21,70.0%
39,LIRS,4,20,4,30,80%,10,20,66.7%
39,CLOCK-Pro,4,20,4,30,80%,13,17,56.7%
39,ARC,4,20,4,30,80%,11,19,63.3%
40,LIRS,4,20,4,30,80%,10,20,66.7%
40,CLOCK-Pro,4,20,4,30,80%,14,16,53.3%
40,ARC,4,20,4,30,80%,14,16,53.3%
